drg_cd,drg_desc,service_line
458,"SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE, MALIGNANCY, INFECTION OR EXTENSIVE",Orthopedics
459,SPINAL FUSION EXCEPT CERVICAL WITH MCC,Orthopedics
460,SPINAL FUSION EXCEPT CERVICAL WITHOUT MCC,Orthopedics
462,BILATERAL OR MULTIPLE MAJOR JOINT PROCEDURES OF LOWER EXTREMITY WITHOUT MCC,Orthopedics
463,WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE D,Orthopedics
464,WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE D,Orthopedics
465,WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE D,Orthopedics
466,REVISION OF HIP OR KNEE REPLACEMENT WITH MCC,Orthopedics
467,REVISION OF HIP OR KNEE REPLACEMENT WITH CC,Orthopedics
468,REVISION OF HIP OR KNEE REPLACEMENT WITHOUT CC/MCC,Orthopedics
469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITH MCC OR TOTA,Orthopedics
470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC,Orthopedics
471,CERVICAL SPINAL FUSION WITH MCC,Orthopedics
472,CERVICAL SPINAL FUSION WITH CC,Orthopedics
473,CERVICAL SPINAL FUSION WITHOUT CC/MCC,Orthopedics
474,AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH MCC,Orthopedics
475,AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH CC,Orthopedics
477,BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC,Orthopedics
